customer_id,customer_name,customer_segment,country,region
C00001,Karen Suzuki,Corporate,United States,North America
C00002,John Johansson,Corporate,Spain,Europe
C00003,Jessica Garcia,Consumer,Mexico,North America
C00004,Clara Taylor,Corporate,Italy,Europe
C00005,Felix Thomas,Consumer,Italy,Europe
C00006,Fatima Suzuki,Consumer,Mexico,North America
C00007,Felix Rodriguez,Home Office,United States,North America
C00008,Ayumi Ferrari,Home Office,Nigeria,Middle East & Africa
C00009,Thomas Smith,Consumer,China,Asia Pacific
C00010,Ali Rodriguez,Consumer,Saudi Arabia,Middle East & Africa
C00011,Raj Martinez,Corporate,Colombia,South America
C00012,Kenji Rossi,Corporate,Spain,Europe
C00013,Mary Khan,Corporate,United Kingdom,Europe
C00014,Maria Tanaka,Consumer,Colombia,South America
C00015,Zara Brown,Corporate,Italy,Europe
C00016,Marco Moreau,Corporate,Japan,Asia Pacific
C00017,Christopher Johansson,Consumer,Nigeria,Middle East & Africa
C00018,Susan Davis,Home Office,Australia,Asia Pacific
C00019,Jamal Schmidt,Consumer,Mexico,North America
C00020,Sarah Davis,Home Office,Italy,Europe
C00021,Clara Smith,Corporate,Colombia,South America
C00022,Robert Khan,Consumer,Colombia,South America
C00023,Jennifer Russo,Home Office,United States,North America
C00024,Yuki Costa,Corporate,UAE,Middle East & Africa
C00025,Amir Oliveira,Consumer,Mexico,North America
C00026,Ivan Zhang,Consumer,UAE,Middle East & Africa
C00027,Sakura Martinez,Home Office,Australia,Asia Pacific
C00028,Mary Davis,Consumer,Argentina,South America
C00029,Karen Rossi,Home Office,Japan,Asia Pacific
C00030,Chen Singh,Consumer,China,Asia Pacific
C00031,Wei Müller,Consumer,Canada,North America
C00032,Raj Costa,Consumer,United Kingdom,Europe
C00033,Hanna Sato,Consumer,Germany,Europe
C00034,Sarah Zhang,Home Office,South Africa,Middle East & Africa
C00035,Linda Russo,Corporate,Italy,Europe
C00036,Chen Laurent,Consumer,United States,North America
C00037,David Anderson,Consumer,Saudi Arabia,Middle East & Africa
C00038,Ayumi Tanaka,Corporate,South Korea,Asia Pacific
C00039,Susan Johansson,Consumer,Mexico,North America
C00040,Mary Ferrari,Consumer,United Kingdom,Europe
C00041,Michael Harris,Home Office,Argentina,South America
C00042,Priya Martin,Consumer,Canada,North America
C00043,Kenji Nilsson,Home Office,Japan,Asia Pacific
C00044,Amir Hassan,Consumer,United States,North America
C00045,Ahmed Garcia,Home Office,India,Asia Pacific
C00046,Li Wang,Corporate,Brazil,South America
C00047,Ava Martinez,Corporate,Nigeria,Middle East & Africa
C00048,Ahmed Clark,Consumer,Canada,North America
C00049,William Sharma,Corporate,Italy,Europe
C00050,Felix Smith,Corporate,Colombia,South America
C00051,Yuki Kumar,Corporate,Canada,North America
C00052,Jamal Rossi,Corporate,South Korea,Asia Pacific
C00053,Maria Sharma,Home Office,Japan,Asia Pacific
C00054,Karen Martinez,Home Office,Colombia,South America
C00055,Sakura Thomas,Corporate,Argentina,South America
C00056,Hans Chen,Consumer,Germany,Europe
C00057,Lucas Sharma,Consumer,Brazil,South America
C00058,Giulia Leroy,Consumer,China,Asia Pacific
C00059,Felix Yamamoto,Consumer,Japan,Asia Pacific
C00060,Layla Khan,Home Office,Canada,North America
C00061,Ava Jones,Consumer,Australia,Asia Pacific
C00062,Sakura Martin,Corporate,Japan,Asia Pacific
C00063,Maria Laurent,Home Office,South Korea,Asia Pacific
C00064,Zara Suzuki,Consumer,Canada,North America
C00065,Zara Costa,Consumer,United Kingdom,Europe
C00066,Olga Kim,Consumer,Argentina,South America
C00067,Hans Kim,Corporate,Japan,Asia Pacific
C00068,Isabella White,Consumer,Germany,Europe
C00069,Emma Oliveira,Consumer,Italy,Europe
C00070,Michael Zhang,Consumer,Canada,North America
C00071,Hanna Ahmed,Consumer,Saudi Arabia,Middle East & Africa
C00072,Patricia Müller,Consumer,Australia,Asia Pacific
C00073,Kenji Zhang,Corporate,United States,North America
C00074,Ayumi Martinez,Home Office,Canada,North America
C00075,Ayumi Nilsson,Home Office,Nigeria,Middle East & Africa
C00076,Mia Ali,Corporate,United States,North America
C00077,Lucas Schmidt,Home Office,Australia,Asia Pacific
C00078,Barbara Davis,Consumer,United Kingdom,Europe
C00079,Jessica Wang,Corporate,South Korea,Asia Pacific
C00080,Jamal Zhang,Consumer,Nigeria,Middle East & Africa
C00081,Felix Johansson,Consumer,Canada,North America
C00082,Priya Wang,Consumer,France,Europe
C00083,Sophie Park,Consumer,Mexico,North America
C00084,Ayumi Khan,Consumer,United States,North America
C00085,Michael Davis,Consumer,China,Asia Pacific
C00086,Felix Thompson,Consumer,Canada,North America
C00087,Hans Johnson,Consumer,Australia,Asia Pacific
C00088,Jennifer Moreau,Corporate,Canada,North America
C00089,Mia Müller,Home Office,United Kingdom,Europe
C00090,Priya Martinez,Corporate,United States,North America
C00091,Fatima Suzuki,Home Office,Brazil,South America
C00092,Zara White,Consumer,France,Europe
C00093,Felix Moreau,Consumer,Spain,Europe
C00094,Ethan Hassan,Corporate,China,Asia Pacific
C00095,Ingrid Schmidt,Consumer,Italy,Europe
C00096,Mia Harris,Consumer,United States,North America
C00097,Sophie Harris,Consumer,Argentina,South America
C00098,Michael Hassan,Corporate,India,Asia Pacific
C00099,Oscar Jones,Consumer,Canada,North America
C00100,Giulia Ali,Consumer,South Korea,Asia Pacific
C00101,Fatima Rossi,Consumer,Australia,Asia Pacific
C00102,Yuki Patel,Corporate,Japan,Asia Pacific
C00103,Mia Clark,Consumer,Italy,Europe
C00104,Mary Smith,Home Office,United States,North America
C00105,Ayumi Suzuki,Corporate,Australia,Asia Pacific
C00106,Elizabeth Moreau,Home Office,Australia,Asia Pacific
C00107,Jamal Martinez,Consumer,Canada,North America
